timestamp,container,cpu_perc,mem_usage,mem_perc,pids,mem_total_gb,mem_available_gb,mem_available_pct,swap_total_gb,swap_free_gb,swap_used_pct,psi_some_avg10,psi_some_avg60,psi_full_avg10,psi_full_avg60
2026-05-04T05:11:56.405512+00:00,llama-swap,0.02%,30.78MiB / 119.7GiB,0.03%,26,119.694,82.732,69.12,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:11:56.405544+00:00,librechat,0.01%,261.2MiB / 119.7GiB,0.21%,29,119.694,82.732,69.12,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:11:56.405550+00:00,litellm,0.14%,545.2MiB / 119.7GiB,0.44%,5,119.694,82.732,69.12,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:11:56.405555+00:00,librechat-mongodb,0.38%,64.54MiB / 119.7GiB,0.05%,50,119.694,82.732,69.12,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:11:56.405560+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,8.70%,2.54GiB / 119.7GiB,2.12%,25,119.694,82.732,69.12,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:00.437830+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.82%,9.39GiB / 119.7GiB,7.84%,25,119.694,82.49,68.92,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:00.437857+00:00,llama-swap,2.06%,31.2MiB / 119.7GiB,0.03%,26,119.694,82.49,68.92,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:00.437863+00:00,librechat,0.01%,261.2MiB / 119.7GiB,0.21%,29,119.694,82.49,68.92,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:00.437867+00:00,litellm,0.16%,545.2MiB / 119.7GiB,0.44%,5,119.694,82.49,68.92,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:00.437872+00:00,librechat-mongodb,0.48%,64.85MiB / 119.7GiB,0.05%,50,119.694,82.49,68.92,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:04.466078+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.35%,9.494GiB / 119.7GiB,7.93%,25,119.694,81.868,68.4,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:04.466104+00:00,llama-swap,0.00%,30.8MiB / 119.7GiB,0.03%,26,119.694,81.868,68.4,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:04.466110+00:00,librechat,0.04%,261.2MiB / 119.7GiB,0.21%,29,119.694,81.868,68.4,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:04.466115+00:00,litellm,0.13%,545.2MiB / 119.7GiB,0.44%,5,119.694,81.868,68.4,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:04.466120+00:00,librechat-mongodb,0.43%,64.82MiB / 119.7GiB,0.05%,50,119.694,81.868,68.4,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:08.497975+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.18%,9.494GiB / 119.7GiB,7.93%,25,119.694,81.817,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:08.498001+00:00,llama-swap,0.00%,31.05MiB / 119.7GiB,0.03%,26,119.694,81.817,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:08.498007+00:00,librechat,0.06%,261.2MiB / 119.7GiB,0.21%,29,119.694,81.817,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:08.498012+00:00,litellm,0.16%,545.2MiB / 119.7GiB,0.44%,5,119.694,81.817,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:08.498016+00:00,librechat-mongodb,0.43%,64.8MiB / 119.7GiB,0.05%,50,119.694,81.817,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:12.541022+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.27%,9.495GiB / 119.7GiB,7.93%,25,119.694,81.818,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:12.541058+00:00,llama-swap,0.00%,31.09MiB / 119.7GiB,0.03%,26,119.694,81.818,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:12.541070+00:00,librechat,0.01%,261.2MiB / 119.7GiB,0.21%,29,119.694,81.818,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:12.541079+00:00,litellm,0.16%,545.2MiB / 119.7GiB,0.44%,5,119.694,81.818,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
2026-05-04T05:12:12.541088+00:00,librechat-mongodb,0.44%,64.8MiB / 119.7GiB,0.05%,50,119.694,81.818,68.36,16.0,15.974,0.16,0.00,0.00,0.00,0.00
