timestamp,container,cpu_perc,mem_usage,mem_perc,pids,mem_total_gb,mem_available_gb,mem_available_pct,swap_total_gb,swap_free_gb,swap_used_pct,psi_some_avg10,psi_some_avg60,psi_full_avg10,psi_full_avg60
2026-05-04T05:43:38.137619+00:00,llama-swap,1.93%,284.2MiB / 119.7GiB,0.23%,27,119.694,78.865,65.89,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:38.137648+00:00,librechat,0.01%,261.3MiB / 119.7GiB,0.21%,29,119.694,78.865,65.89,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:38.137654+00:00,litellm,0.11%,546.3MiB / 119.7GiB,0.45%,5,119.694,78.865,65.89,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:38.137659+00:00,librechat-mongodb,0.32%,52.44MiB / 119.7GiB,0.04%,50,119.694,78.865,65.89,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:38.137664+00:00,ls-unsloth-granite-4.1-8b-q5-64k,99.68%,368.2MiB / 119.7GiB,0.30%,25,119.694,78.865,65.89,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:42.166233+00:00,ls-unsloth-granite-4.1-8b-q5-64k,100.20%,623.5MiB / 119.7GiB,0.51%,25,119.694,85.048,71.05,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:42.166271+00:00,llama-swap,0.11%,284.2MiB / 119.7GiB,0.23%,27,119.694,85.048,71.05,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:42.166278+00:00,librechat,0.01%,261.6MiB / 119.7GiB,0.21%,29,119.694,85.048,71.05,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:42.166282+00:00,litellm,0.10%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.048,71.05,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:42.166288+00:00,librechat-mongodb,0.30%,52.69MiB / 119.7GiB,0.04%,50,119.694,85.048,71.05,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:46.196398+00:00,ls-unsloth-granite-4.1-8b-q5-64k,100.18%,644.7MiB / 119.7GiB,0.53%,25,119.694,85.032,71.04,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:46.196426+00:00,llama-swap,0.00%,284.2MiB / 119.7GiB,0.23%,27,119.694,85.032,71.04,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:46.196432+00:00,librechat,0.01%,261.6MiB / 119.7GiB,0.21%,29,119.694,85.032,71.04,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:46.196437+00:00,litellm,0.11%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.032,71.04,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:46.196441+00:00,librechat-mongodb,0.41%,52.91MiB / 119.7GiB,0.04%,50,119.694,85.032,71.04,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:50.225973+00:00,ls-unsloth-granite-4.1-8b-q5-64k,100.28%,647MiB / 119.7GiB,0.53%,25,119.694,85.076,71.08,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:50.226002+00:00,llama-swap,0.00%,284MiB / 119.7GiB,0.23%,27,119.694,85.076,71.08,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:50.226009+00:00,librechat,0.01%,261.8MiB / 119.7GiB,0.21%,29,119.694,85.076,71.08,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:50.226014+00:00,litellm,0.11%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.076,71.08,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:43:50.226018+00:00,librechat-mongodb,0.35%,52.91MiB / 119.7GiB,0.04%,50,119.694,85.076,71.08,16.0,15.963,0.23,0.00,0.00,0.00,0.00
